bootcamp_id,modulo_id,puntuacion
1,1,3
1,2,7
1,3,8
1,4,8
1,5,2
1,6,2
1,7,1
2,1,9
2,2,8
2,3,5
2,4,2
2,5,3
2,6,7
2,7,1
3,1,6
3,2,4
3,3,5
3,4,4
3,5,8
3,6,6
3,7,8
4,1,8
4,2,3
4,3,3
4,4,9
4,5,9
4,6,4
4,7,9
5,1,3
5,2,9
5,3,4
5,4,1
5,5,2
5,6,1
5,7,8
6,1,10
6,2,10
6,3,7
6,4,2
6,5,5
6,6,4
6,7,6
7,1,10
7,2,2
7,3,3
7,4,7
7,5,7
7,6,4
7,7,8
8,1,10
8,2,8
8,3,4
8,4,8
8,5,1
8,6,2
8,7,3
9,1,9
9,2,10
9,3,3
9,4,4
9,5,5
9,6,2
9,7,5
10,1,7
10,2,6
10,3,10
10,4,4
10,5,7
10,6,2
10,7,7
11,1,9
11,2,5
11,3,4
11,4,6
11,5,5
11,6,3
11,7,3
12,1,1
12,2,5
12,3,7
12,4,7
12,5,1
12,6,6
12,7,6
13,1,5
13,2,1
13,3,9
13,4,10
13,5,7
13,6,4
13,7,8
14,1,4
14,2,10
14,3,1
14,4,6
14,5,6
14,6,4
14,7,3
15,1,10
15,2,5
15,3,10
15,4,6
15,5,3
15,6,10
15,7,5
16,1,4
16,2,5
16,3,7
16,4,5
16,5,7
16,6,1
16,7,4
17,1,6
17,2,5
17,3,7
17,4,9
17,5,4
17,6,3
17,7,6
18,1,6
18,2,8
18,3,7
18,4,7
18,5,1
18,6,6
18,7,1
19,1,10
19,2,6
19,3,3
19,4,10
19,5,8
19,6,1
19,7,1
20,1,6
20,2,9
20,3,9
20,4,5
20,5,10
20,6,7
20,7,4
21,1,5
21,2,2
21,3,3
21,4,8
21,5,6
21,6,1
21,7,2
22,1,2
22,2,3
22,3,8
22,4,8
22,5,4
22,6,5
22,7,4
23,1,7
23,2,8
23,3,2
23,4,10
23,5,5
23,6,8
23,7,2
24,1,2
24,2,9
24,3,5
24,4,2
24,5,6
24,6,2
24,7,1
25,1,2
25,2,3
25,3,2
25,4,4
25,5,3
25,6,6
25,7,4
26,1,10
26,2,1
26,3,9
26,4,5
26,5,3
26,6,9
26,7,8
27,1,4
27,2,7
27,3,7
27,4,10
27,5,10
27,6,4
27,7,3
28,1,9
28,2,5
28,3,6
28,4,9
28,5,4
28,6,6
28,7,3
29,1,4
29,2,5
29,3,10
29,4,2
29,5,7
