id_detalle,id_orden,id_producto,cantidad,precio_unitario,descuento,id_cliente,id_empleado
1,1,157,11,21.61,0.0,1804,44
2,1,239,12,23.14,0.0,1106,23
3,1,184,4,0.56,0.0,944,192
4,2,240,20,9.82,0.0,516,113
5,2,125,17,2.23,0.0,714,101
6,2,152,2,10.64,0.0,623,63
7,3,46,14,21.23,0.0,875,101
8,3,79,7,3.86,0.0,1723,178
9,3,196,11,2.72,0.0,1811,144
10,4,185,11,1.28,0.0,232,197
11,4,245,10,14.08,0.0,1313,111
12,4,85,2,2.21,0.0,1370,51
13,5,84,3,2.07,0.0,1807,109
14,5,63,6,4.27,0.0,617,134
15,5,21,18,11.1,0.0,447,49
16,6,195,10,3.63,0.0,629,157
17,6,17,3,3.76,0.0,1019,171
18,6,74,18,1.61,67.29,333,21
19,7,253,4,10.3,0.0,910,95
20,7,270,12,12.28,0.0,1499,6
21,7,145,17,2.84,0.0,640,68
22,8,126,7,1.5,0.0,964,66
23,8,204,7,3.75,0.0,1325,140
24,8,9,10,4.08,0.0,159,172
25,9,203,6,3.93,0.0,423,110
26,9,120,1,2.01,0.0,1846,67
27,9,29,3,11.25,0.0,1613,39
28,10,83,18,3.53,0.0,1871,124
29,10,140,10,2.94,40.17,1929,193
30,10,226,20,5.11,0.0,1244,174
31,11,218,3,7.03,0.0,1208,54
32,11,4,9,2.77,0.0,1102,75
33,11,270,11,12.28,0.0,1756,84
34,12,57,10,0.76,0.0,297,178
35,12,149,7,4.31,0.0,1796,75
36,12,103,16,3.03,4.16,1870,52
37,13,32,16,26.25,0.0,118,36
38,13,16,15,1.39,0.0,1456,140
39,13,166,16,17.86,0.0,506,4
40,14,257,9,15.71,0.0,1886,37
41,14,167,8,13.87,0.0,672,79
42,14,133,5,4.19,0.0,1816,49
43,15,185,8,1.28,0.0,86,9
44,15,40,15,11.58,0.0,299,125
45,15,79,14,3.86,0.0,1523,85
46,16,167,13,13.87,1.55,1403,9
47,16,262,6,4.96,0.0,173,31
48,16,96,3,2.45,0.0,1250,35
49,17,47,6,0.54,0.0,1936,2
50,17,205,15,2.99,30.48,1964,193
51,17,204,15,3.75,0.0,811,14
52,18,165,16,18.56,0.0,1738,7
53,18,249,3,12.48,0.0,734,55
54,18,202,12,1.95,0.0,82,28
55,19,256,1,11.22,0.0,1421,62
56,19,54,17,1.96,0.0,220,87
57,19,114,5,1.4,0.0,1333,91
58,20,181,1,17.97,0.0,1497,188
59,20,263,19,7.5,36.46,847,90
60,20,166,20,17.86,0.0,400,129
61,21,15,17,2.87,0.0,1969,71
62,21,204,17,3.75,0.0,916,28
63,21,50,16,1.13,58.79,704,75
64,22,130,7,4.19,25.09,356,88
65,22,294,14,28.93,0.0,735,5
66,22,14,11,0.95,0.0,466,111
67,23,278,19,62.03,0.0,1916,116
68,23,96,2,2.45,0.0,542,125
69,23,4,16,2.77,0.0,1934,168
70,24,74,9,1.61,0.0,1844,186
71,24,277,7,52.88,0.0,1934,81
72,24,181,17,17.97,0.0,329,126
73,25,8,3,1.77,0.0,797,126
74,25,58,8,2.18,0.0,1786,29
75,25,259,18,5.29,0.0,225,176
76,26,66,15,4.71,0.0,1240,6
77,26,124,4,3.62,0.0,453,133
78,26,104,18,1.66,0.0,198,29
79,27,38,11,8.87,0.0,25,144
80,27,20,18,8.06,0.0,27,68
81,27,133,5,4.19,0.0,1723,64
82,28,8,19,1.77,0.0,1861,80
83,28,161,14,4.79,0.0,1300,28
84,28,179,3,8.62,0.0,854,33
85,29,213,13,8.77,0.0,881,155
86,29,247,4,18.07,0.0,1582,55
87,29,155,5,13.11,0.0,475,115
88,30,86,16,3.17,26.71,1273,200
89,30,272,5,45.53,0.0,872,133
90,30,140,11,2.94,0.0,924,78
91,31,191,10,2.94,0.0,1528,73
92,31,240,10,9.82,40.24,425,24
93,31,217,4,3.58,0.0,1999,192
94,32,289,10,25.4,27.2,558,174
95,32,262,19,4.96,0.0,311,182
96,32,292,16,29.73,0.0,744,137
97,33,128,13,3.59,0.0,1323,188
98,33,127,14,4.94,0.0,877,138
99,33,213,17,8.77,0.0,1012,30
100,34,186,4,1.5,0.0,1318,162
101,34,250,5,20.07,0.0,1561,150
102,34,174,13,12.09,0.0,2000,117
103,35,210,12,1.51,0.0,1452,21
104,35,87,14,2.92,0.0,447,92
105,35,255,5,9.88,0.0,819,48
106,36,220,4,9.09,0.0,1331,199
107,36,266,6,11.9,0.0,924,26
108,36,98,9,1.01,0.0,580,3
109,37,130,16,4.19,0.0,1014,116
110,37,110,20,2.93,0.0,650,105
111,37,195,12,3.63,0.0,1169,116
112,38,122,9,4.5,0.0,1685,59
113,38,235,4,30.46,0.0,907,113
114,38,178,4,10.22,0.0,304,7
115,39,156,9,5.51,0.0,1589,71
116,39,286,20,34.66,0.0,1871,145
117,39,158,18,10.72,0.0,1570,92
118,40,212,15,8.31,0.0,539,108
119,40,36,5,6.42,0.0,1561,116
120,40,36,3,6.42,0.0,1615,137
121,41,288,16,68.85,0.0,606,41
122,41,152,1,10.64,0.0,632,136
123,41,282,7,15.12,0.0,1619,150
124,42,71,8,4.53,7.22,1274,100
125,42,62,18,4.07,0.0,1400,10
126,42,43,1,5.83,44.58,1760,199
127,43,64,4,3.24,0.0,1711,83
128,43,236,20,57.9,0.0,921,77
129,43,239,14,23.14,6.27,650,169
130,44,44,10,10.71,7.81,1289,66
131,44,210,7,1.51,0.0,1924,151
132,44,63,7,4.27,0.0,1820,148
133,45,167,9,13.87,0.0,1873,60
134,45,258,10,9.48,0.0,1654,20
135,45,208,18,3.62,0.0,1489,115
136,46,76,20,2.85,0.0,971,44
137,46,10,16,3.73,0.0,725,97
138,46,75,4,2.28,0.0,1351,77
139,47,29,4,11.25,0.0,166,163
140,47,94,17,1.09,0.0,1559,39
141,47,152,1,10.64,0.0,11,153
142,48,240,8,9.82,0.0,1130,124
143,48,289,9,25.4,0.0,229,116
144,48,285,5,50.46,0.0,1631,132
145,49,211,11,4.18,0.0,255,7
146,49,248,16,13.99,0.0,1502,89
147,49,146,17,1.75,0.0,1443,108
148,50,98,4,1.01,0.0,865,161
149,50,130,13,4.19,0.0,1189,109
150,50,158,7,10.72,0.0,1998,112
151,51,286,5,34.66,0.0,123,121
152,51,14,1,0.95,0.0,1679,131
153,51,278,18,62.03,0.0,1573,130
154,52,269,19,7.96,0.0,794,180
155,52,101,1,2.52,0.0,1952,1
156,52,37,1,11.33,0.0,1281,177
157,53,43,3,5.83,0.0,1461,187
158,53,226,2,5.11,0.0,453,90
159,53,211,10,4.18,0.0,1864,1
160,54,28,8,17.86,0.0,1272,92
161,54,178,5,10.22,0.0,573,186
162,54,43,1,5.83,0.0,185,145
163,55,50,20,1.13,0.0,1682,200
164,55,93,20,4.57,0.0,32,146
165,55,180,20,9.11,64.18,50,2
166,56,154,3,9.41,0.0,531,126
167,56,42,11,7.25,0.0,739,71
168,56,58,18,2.18,0.0,1557,54
169,57,59,6,1.33,0.0,1914,198
170,57,60,12,1.63,0.0,1356,45
171,57,32,8,26.25,0.0,975,90
172,58,1,10,3.38,0.0,787,4
173,58,219,19,6.11,0.0,679,90
174,58,170,13,14.52,0.0,471,119
175,59,141,5,2.14,0.0,1211,181
176,59,146,19,1.75,58.66,152,41
177,59,18,17,8.87,0.0,1113,157
178,60,201,17,1.96,0.0,459,197
179,60,70,20,4.7,0.0,1944,60
180,60,206,2,2.93,0.0,1709,156
181,61,151,17,2.69,0.0,121,92
182,61,8,19,1.77,0.0,1810,194
183,61,208,9,3.62,31.94,365,27
184,62,41,4,13.33,0.0,1554,120
185,62,184,6,0.56,0.0,682,32
186,62,288,15,68.85,0.0,1383,106
187,63,151,2,2.69,16.74,1282,49
188,63,134,12,7.57,0.0,915,179
189,63,218,4,7.03,0.0,1607,106
190,64,204,16,3.75,0.0,1140,83
191,64,225,3,12.88,0.0,1841,90
192,64,152,1,10.64,0.0,445,130
193,65,65,16,2.52,0.0,1386,82
194,65,152,1,10.64,47.7,1604,77
195,65,122,14,4.5,0.0,335,30
196,66,57,20,0.76,0.0,150,62
197,66,258,19,9.48,0.0,275,149
198,66,65,12,2.52,0.0,1391,45
199,67,263,3,7.5,0.0,68,58
200,67,174,2,12.09,0.0,1088,47
201,67,106,12,1.02,0.0,1050,183
202,68,79,11,3.86,0.0,589,86
203,68,174,15,12.09,0.0,357,30
204,68,110,5,2.93,0.0,1390,83
205,69,249,10,12.48,39.42,1116,193
206,69,69,18,3.78,0.0,1195,93
207,69,203,4,3.93,0.0,977,15
208,70,87,15,2.92,0.0,634,153
209,70,166,9,17.86,0.0,1214,18
210,70,241,14,26.33,0.0,1037,111
211,71,92,16,3.54,0.0,1960,1
212,71,207,16,3.56,0.0,503,198
213,71,137,10,2.0,0.0,1201,151
214,72,291,6,55.72,0.0,685,160
215,72,79,19,3.86,0.0,855,144
216,72,6,8,1.92,0.0,552,3
217,73,68,8,1.85,0.0,1603,60
218,73,258,2,9.48,0.0,1755,139
219,73,92,4,3.54,10.5,782,117
220,74,15,9,2.87,0.0,921,44
221,74,58,11,2.18,0.0,636,130
222,74,190,12,2.06,0.0,1743,180
223,75,134,9,7.57,0.0,1724,71
224,75,57,3,0.76,0.0,1380,71
225,75,219,18,6.11,0.0,1213,166
226,76,226,15,5.11,0.0,193,152
227,76,196,10,2.72,0.0,1736,86
228,76,172,15,6.79,0.0,1792,193
229,77,261,20,8.93,0.0,1101,39
230,77,75,9,2.28,0.0,1068,128
231,77,134,8,7.57,0.0,1805,131
232,78,162,19,13.77,0.0,1603,8
233,78,19,7,13.41,0.0,335,3
234,78,294,10,28.93,0.0,1758,58
235,79,262,11,4.96,0.0,1521,7
236,79,205,10,2.99,0.0,1853,16
237,79,163,20,7.75,1.85,854,137
238,80,277,2,52.88,0.0,355,96
239,80,123,7,2.59,0.0,1977,114
240,80,190,17,2.06,0.0,1461,21
241,81,258,2,9.48,0.0,1688,196
242,81,295,1,27.58,0.0,120,181
243,81,209,13,3.53,0.0,937,22
244,82,173,10,8.14,0.0,528,30
245,82,36,17,6.42,0.0,946,20
246,82,201,3,1.96,0.0,1220,199
247,83,257,17,15.71,0.0,1187,97
248,83,77,7,2.8,0.0,1025,179
249,83,271,4,5.05,7.64,1372,79
250,84,67,7,1.69,35.48,618,72
251,84,156,13,5.51,0.0,322,120
252,84,206,20,2.93,0.0,1788,110
253,85,27,13,6.98,0.0,1325,48
254,85,220,15,9.09,59.03,610,108
255,85,243,14,5.77,0.0,325,46
256,86,169,10,12.9,0.0,884,175
257,86,290,2,32.33,0.0,734,9
258,86,74,18,1.61,0.0,1074,36
259,87,294,17,28.93,0.0,42,118
260,87,175,2,14.15,0.0,759,148
261,87,200,6,5.24,0.0,1290,41
262,88,214,8,11.36,0.0,1053,105
263,88,88,10,4.21,36.79,946,78
264,88,295,1,27.58,0.0,1171,115
265,89,101,5,2.52,0.0,1961,118
266,89,188,5,1.37,49.66,1929,143
267,89,241,15,26.33,0.0,827,182
268,90,230,3,36.67,0.0,717,96
269,90,74,13,1.61,0.0,1168,9
270,90,25,10,6.33,0.0,1268,108
271,91,148,6,1.88,0.0,1968,96
272,91,97,5,4.77,0.0,1288,92
273,91,16,15,1.39,0.0,85,116
274,92,158,13,10.72,0.0,57,120
275,92,33,6,7.95,0.0,194,176
276,92,136,2,2.89,0.0,695,88
277,93,114,3,1.4,0.0,845,182
278,93,217,13,3.58,0.0,4,151
279,93,188,3,1.37,0.0,1397,62
280,94,241,19,26.33,0.0,1148,22
281,94,38,6,8.87,0.0,713,27
282,94,174,19,12.09,0.0,1659,100
283,95,71,3,4.53,0.0,335,169
284,95,18,17,8.87,0.0,1076,104
285,95,294,10,28.93,0.0,1259,27
286,96,99,18,1.77,0.0,1425,96
287,96,72,7,1.84,0.0,1264,189
288,96,271,11,5.05,0.0,459,25
289,97,14,4,0.95,0.0,493,156
290,97,182,15,2.93,30.84,1498,22
291,97,196,15,2.72,0.0,1492,5
292,98,182,12,2.93,0.0,404,134
293,98,52,13,1.92,0.0,646,196
294,98,209,15,3.53,67.57,482,99
295,99,35,7,6.85,0.0,637,78
296,99,172,7,6.79,0.0,1094,140
297,99,56,4,1.83,0.0,314,90
298,100,70,9,4.7,0.0,493,159
299,100,189,18,3.68,0.0,1786,79
300,100,240,17,9.82,41.0,1105,64
301,101,283,5,30.2,0.0,381,199
302,101,139,1,4.09,0.0,670,5
303,101,94,13,1.09,0.0,43,23
304,102,281,8,18.77,0.0,1582,51
305,102,38,19,8.87,0.0,1625,172
306,102,100,13,2.61,0.0,136,118
307,103,73,11,6.03,0.0,1912,137
308,103,80,8,3.02,0.0,1023,75
309,103,235,2,30.46,0.0,1446,31
310,104,228,5,17.02,51.33,269,196
311,104,38,8,8.87,0.0,1472,183
312,104,94,2,1.09,0.0,1172,164
313,105,54,5,1.96,0.0,1247,56
314,105,199,18,2.34,0.0,1629,174
315,105,158,4,10.72,0.0,895,42
316,106,95,2,3.89,3.31,987,159
317,106,141,8,2.14,0.0,1294,188
318,106,146,6,1.75,0.0,1428,51
319,107,221,17,8.81,0.0,1679,65
320,107,206,7,2.93,37.2,55,37
321,107,158,14,10.72,0.0,1729,30
322,108,47,15,0.54,0.0,1234,101
323,108,156,17,5.51,0.0,252,157
324,108,243,19,5.77,0.0,618,160
325,109,295,11,27.58,0.0,1468,69
326,109,193,5,0.56,0.0,1613,99
327,109,139,7,4.09,0.0,1671,1
328,110,188,1,1.37,0.0,1261,85
329,110,22,7,6.95,0.0,991,138
330,110,115,8,2.07,0.0,234,164
331,111,196,20,2.72,0.0,492,123
332,111,226,2,5.11,0.0,1141,49
333,111,114,20,1.4,0.0,335,177
334,112,190,17,2.06,0.0,1153,34
335,112,185,15,1.28,0.0,455,90
336,112,241,4,26.33,0.0,1709,91
337,113,257,1,15.71,44.8,351,14
338,113,177,1,12.87,0.0,1169,59
339,113,163,8,7.75,41.85,1416,29
340,114,32,12,26.25,0.0,545,128
341,114,57,4,0.76,0.0,1360,195
342,114,216,4,10.36,0.0,1714,196
343,115,281,8,18.77,0.0,194,190
344,115,131,9,2.35,0.0,1440,44
345,115,176,1,10.95,0.0,1191,131
346,116,228,6,17.02,0.0,755,86
347,116,28,19,17.86,0.0,1151,149
348,116,282,3,15.12,0.0,1117,124
349,117,104,5,1.66,0.0,1544,47
350,117,147,9,4.75,0.0,1481,160
351,117,183,11,1.55,0.0,1362,17
352,118,57,11,0.76,0.0,1401,152
353,118,156,1,5.51,0.0,1005,195
354,118,286,13,34.66,0.0,1216,10
355,119,268,18,7.09,0.0,1402,94
356,119,226,17,5.11,53.13,1096,193
357,119,177,1,12.87,14.81,695,3
358,120,161,20,4.79,0.0,1662,65
359,120,201,4,1.96,54.74,275,108
360,120,83,19,3.53,50.75,1023,79
361,121,36,9,6.42,0.0,537,151
362,121,159,20,18.91,41.03,1797,21
363,121,20,14,8.06,0.0,469,139
364,122,45,1,5.44,0.0,151,3
365,122,197,6,2.36,3.06,1987,122
366,122,225,19,12.88,0.0,1643,82
367,123,196,2,2.72,0.0,1354,54
368,123,97,4,4.77,0.0,1556,105
369,123,193,9,0.56,0.0,460,19
370,124,192,15,2.8,0.0,1661,93
371,124,222,8,6.74,37.62,1980,105
372,124,26,7,4.84,0.0,1227,143
373,125,146,14,1.75,0.0,1921,32
374,125,8,1,1.77,0.0,896,85
375,125,21,1,11.1,0.0,472,113
376,126,113,20,2.33,0.0,400,54
377,126,29,2,11.25,0.0,828,25
378,126,97,6,4.77,0.0,1437,149
379,127,23,7,9.34,0.0,775,122
380,127,225,3,12.88,40.36,330,51
381,127,47,9,0.54,0.0,422,22
382,128,137,17,2.0,0.0,453,118
383,128,26,9,4.84,0.0,1889,130
384,128,198,18,3.13,0.0,348,10
385,129,21,10,11.1,0.0,35,125
386,129,218,16,7.03,0.0,1285,110
387,129,27,3,6.98,0.0,1685,75
388,130,154,11,9.41,0.0,931,199
389,130,4,5,2.77,0.0,888,72
390,130,27,11,6.98,0.0,1431,57
391,131,175,3,14.15,0.0,1162,114
392,131,40,2,11.58,0.0,107,79
393,131,134,12,7.57,54.92,1706,14
394,132,224,18,4.1,0.0,1209,8
395,132,116,12,2.87,0.0,1583,191
396,132,194,9,1.45,0.0,766,173
397,133,67,18,1.69,0.0,501,55
398,133,287,5,45.63,0.0,292,89
399,133,286,5,34.66,0.0,1164,152
400,134,145,11,2.84,0.0,1274,76
401,134,227,14,20.37,39.13,1310,176
402,134,21,19,11.1,0.0,820,43
403,135,105,8,3.58,0.0,1348,28
404,135,245,11,14.08,44.01,1385,6
405,135,201,3,1.96,0.0,1146,37
406,136,266,15,11.9,0.0,1831,134
407,136,148,20,1.88,0.0,940,135
408,136,31,8,8.55,0.0,942,131
409,137,78,16,3.25,0.0,56,34
410,137,111,2,1.04,0.0,52,189
411,137,194,7,1.45,0.0,1384,81
412,138,122,15,4.5,45.1,606,61
413,138,94,15,1.09,0.0,1516,197
414,138,178,17,10.22,0.0,1476,95
415,139,89,12,2.94,0.0,1750,138
416,139,191,11,2.94,0.0,1920,62
417,139,198,2,3.13,0.0,574,143
418,140,290,18,32.33,0.0,1570,173
419,140,273,8,40.48,0.0,820,39
420,140,64,2,3.24,0.0,1373,25
421,141,138,16,1.11,2.5,1368,111
422,141,114,1,1.4,0.0,1085,180
423,141,204,3,3.75,0.0,435,77
424,142,275,14,42.31,11.16,209,51
425,142,283,14,30.2,0.0,1628,41
426,142,106,8,1.02,0.0,754,161
427,143,108,19,2.17,0.0,1937,184
428,143,72,5,1.84,0.0,95,135
429,143,244,17,13.57,0.0,1617,122
430,144,198,1,3.13,0.0,344,39
431,144,204,2,3.75,0.0,758,192
432,144,210,13,1.51,0.0,1101,161
433,145,132,17,1.69,0.0,1403,167
434,145,113,14,2.33,0.0,585,137
435,145,89,7,2.94,0.0,1849,159
436,146,191,1,2.94,0.0,630,174
437,146,158,8,10.72,0.0,691,162
438,146,106,1,1.02,0.0,709,133
439,147,193,12,0.56,0.0,1169,90
440,147,119,13,1.26,0.0,324,15
441,147,246,14,9.11,0.0,900,163
442,148,40,13,11.58,0.0,68,171
443,148,165,6,18.56,0.0,1414,166
444,148,218,18,7.03,0.0,545,96
445,149,257,8,15.71,0.0,1057,178
446,149,197,5,2.36,35.66,1129,146
447,149,78,19,3.25,0.0,566,118
448,150,177,1,12.87,0.0,1848,138
449,150,255,16,9.88,0.0,61,56
450,150,144,12,3.72,0.0,985,69
451,151,44,17,10.71,0.0,536,81
452,151,7,19,2.16,0.0,1655,3
453,151,244,16,13.57,0.0,77,37
454,152,44,16,10.71,0.0,101,99
455,152,284,13,18.73,0.0,275,23
456,152,229,7,23.1,0.0,1241,185
457,153,155,2,13.11,0.0,1943,94
458,153,109,18,3.0,0.0,1720,44
459,153,226,1,5.11,0.0,1037,50
460,154,279,17,12.24,0.0,47,172
461,154,175,13,14.15,0.0,1783,167
462,154,6,10,1.92,0.0,466,193
463,155,165,6,18.56,0.0,771,78
464,155,129,4,2.94,23.94,1947,1
465,155,133,8,4.19,0.0,558,55
466,156,34,17,12.19,0.0,1902,27
467,156,60,7,1.63,0.0,1760,137
