id_orden,id_cliente,id_empleado,fecha_orden,hora_orden,metodo_pago,es_online,lugar_compra_fisica
1,1164,173,2025-09-07,21:52,Efectivo,False,Barrio
2,1668,69,2025-08-01,15:18,Tarjeta,False,Barrio
3,1341,89,2025-11-23,09:23,Tarjeta,False,Barrio
4,1429,107,2025-06-23,15:44,Tarjeta,False,Barrio
5,1969,130,2025-06-09,19:01,Tarjeta,False,Barrio
6,1952,67,2025-09-01,15:19,Tarjeta,False,Barrio
7,1234,71,2025-03-22,09:28,Efectivo,False,Barrio
8,100,63,2025-10-25,09:15,PayPal,False,Barrio
9,332,193,2025-11-12,13:21,Tarjeta,False,Barrio
10,430,119,2025-06-05,18:40,Tarjeta,False,Barrio
11,1829,109,2025-09-10,13:39,Tarjeta,False,Barrio
12,1071,123,2025-04-15,20:55,Tarjeta,False,Barrio
13,1575,30,2025-02-24,20:12,Tarjeta,False,Barrio
14,1921,124,2025-12-09,20:24,PayPal,False,Barrio
15,752,35,2025-10-13,08:06,PayPal,False,Barrio
16,1729,90,2025-02-20,03:43,PayPal,True,Fuera
17,1641,192,2025-03-30,17:42,Transferencia,False,Fuera
18,53,126,2025-10-18,00:03,Tarjeta,True,Barrio
19,779,164,2025-06-23,08:03,Efectivo,False,Barrio
20,1149,160,2025-07-16,10:23,Tarjeta,False,Barrio
21,1627,154,2025-04-27,15:59,Tarjeta,False,Fuera
22,1053,86,2025-10-30,12:16,Tarjeta,True,Barrio
23,951,181,2025-07-04,21:13,Efectivo,False,Barrio
24,513,26,2025-05-24,21:51,Tarjeta,False,Barrio
25,923,156,2025-11-04,16:27,Efectivo,False,Barrio
26,1774,85,2025-05-25,12:09,Tarjeta,False,Barrio
27,93,11,2025-09-24,11:56,PayPal,False,Barrio
28,565,188,2025-09-28,22:53,Efectivo,True,Barrio
29,1083,94,2025-06-18,17:01,Tarjeta,False,Barrio
30,1772,65,2025-10-21,17:52,Tarjeta,False,Barrio
31,1153,13,2025-11-20,15:00,Tarjeta,False,Barrio
32,315,129,2025-04-23,19:02,Tarjeta,False,Barrio
33,1785,192,2025-08-15,15:16,Tarjeta,False,Barrio
34,536,75,2025-11-23,17:42,Tarjeta,False,Barrio
35,1188,114,2025-11-17,20:59,Tarjeta,False,Barrio
36,1954,82,2025-11-12,16:18,Efectivo,True,Barrio
37,31,25,2025-05-09,11:11,Transferencia,False,Barrio
